NAME	DESCRIPTION	KrasWT_1	KrasWT_2	KrasWT_3	KrasWT_4	KrasWT_5	KrasWT_6	KrasWT_7	KrasWT_8	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4	KrasG12D_5	KrasG12D_6	KrasG12D_7	KrasG12D_8
ENSMUSG00000034343		340.0146377	329.1047769	416.7636655	446.4986468	433.3218518	377.188175	363.7700612	411.7824812	409.9171797	474.5383316	416.4717266	545.9052426	487.5363025	442.14645	531.791446	508.3191657
ENSMUSG00000034345		418.5283756	441.1484033	637.8467672	529.2312283	782.9693312	491.2022311	484.8408769	466.0128426	523.0011147	506.0901024	468.3741229	534.6620133	655.0969056	582.9421718	740.2142835	672.6565486
ENSMUSG00000034349		1389.746779	1588.225341	1349.950019	976.4983525	1375.703893	1490.129641	1136.574838	1398.663586	1575.572077	1073.697025	1146.529404	792.6258962	655.9214893	1418.660109	514.3641297	1198.706848
ENSMUSG00000034353		314.4830499	334.4274183	680.1453225	426.0564668	397.7909192	190.8989549	494.4017025	573.2820556	300.7621007	183.3010739	233.1521553	222.8513761	295.2061015	206.1318698	898.6483347	432.1068886
ENSMUSG00000034354		717.6445376	778.614596	731.2915415	768.7147071	971.2731063	774.2083754	750.7022428	1009.138031	684.2583067	737.9075934	751.8316125	701.3802758	877.7584881	1066.064939	1128.275829	723.9812344
ENSMUSG00000034361		377.3378735	388.6671981	403.553497	435.9751248	453.3764205	421.6613518	213.0139206	249.7309374	457.9882169	286.1617108	372.5683574	496.5355343	559.0510909	755.389068	486.7515057	557.3846845
ENSMUSG00000034362		28.81136772	45.76783999	12.12778398	30.85541814	15.75773162	36.32274192	61.16885704	82.18939173	50.5907239	13.89666919	35.82318024	200.6073216	42.3503702	141.172363	46.08833685	57.40365984
ENSMUSG00000034371		132.4387028	138.5070078	152.8085093	185.1718878	93.36903522	161.4868269	189.1652888	91.73682586	130.9761896	171.1577807	129.2314901	105.8100996	148.6845213	128.1549885	97.74358425	86.98919917
ENSMUSG00000034377		743.9176416	863.5718502	544.3780065	712.4307199	1207.020923	564.4647277	644.2018707	782.4417866	771.5248185	820.1240095	990.3989843	994.9899722	845.3918087	1033.176319	1199.051948	810.9755107
ENSMUSG00000034382		1029.498719	1387.966647	659.8174725	1008.480174	1080.013835	1187.942337	935.0034944	2173.405221	1016.047508	1089.086957	1358.19095	1810.76343	1264.517665	1594.476419	1779.668776	1063.71685
ENSMUSG00000034390		618.1521156	808.4877125	393.0854469	605.1293949	577.0119018	646.8899426	568.6578516	1001.51261	650.923722	562.2259738	719.8880319	805.9606844	751.3890774	802.561653	994.459945	632.6709207
ENSMUSG00000034394		226.4443105	424.7345235	59.62533592	84.25636879	60.36626419	631.0712816	189.0008001	469.0904332	91.57432683	275.1939727	265.2421253	276.3700671	385.5008089	416.9959419	204.0767377	173.0623247
ENSMUSG00000034401		173.2888187	260.2076811	194.6308183	288.759874	314.9571092	329.7669333	241.1612786	311.8447134	141.181164	241.5917083	237.7276353	271.9800916	226.647592	738.0266529	256.5618144	199.7182899
ENSMUSG00000034403		471.756215	381.0575747	490.6810476	665.2161239	295.5751842	428.4606904	484.6365553	379.0484277	584.4931406	559.3557983	460.4828016	427.3401956	406.56603	359.1058463	360.5608766	423.8370208
ENSMUSG00000034412		223.1549092	181.3682053	191.8936026	203.4521093	166.5861538	178.1404989	152.7192713	261.6862139	175.5218867	234.0394793	140.1474923	261.4890872	163.6334033	199.9904329	187.3308399	168.6250393
ENSMUSG00000034413		110.0285713	154.9885274	76.18341075	97.71112592	193.4573071	114.3230445	71.40808841	140.403572	133.1170435	66.38628369	144.1718687	175.5098208	137.4363409	158.665713	284.1667994	168.6865194
ENSMUSG00000034422		2393.334272	4501.157449	992.1203649	1248.834456	263.2551287	3722.714114	1870.822206	2323.20069	648.2486688	2843.203882	1409.494757	683.3923136	556.8009894	1356.541985	200.9553948	705.8521611
ENSMUSG00000034424		540.6662704	398.8161036	694.1637745	556.9589187	398.0002239	452.0441358	504.6037333	398.3893012	581.3474832	541.831534	475.9110318	560.0804569	707.6264626	419.701212	556.9157888	500.6775116
ENSMUSG00000034427		1015.350576	1284.999945	401.1791784	780.3610514	550.3708464	918.5582834	613.6371761	1259.038847	885.0837912	380.0610131	825.8575543	1828.803852	1270.803068	1527.873139	1194.762228	798.9812267
ENSMUSG00000034429		64.3225984	97.47260281	89.40220599	68.6817214	131.4938543	77.3241854	65.55459401	82.50364998	57.07829915	72.05292236	65.5001261	79.28321027	80.18357873	63.13905851	83.45462081	61.99711678
ENSMUSG00000034430		149.4098419	186.1314341	158.7923224	110.3383796	212.0422629	143.2708231	110.3243229	199.0362803	123.6024151	127.9990712	159.8301727	117.214665	175.1517448	193.3083377	205.6248056	165.9818466
ENSMUSG00000034432		400.5920481	352.6259695	356.110528	397.9984283	590.1167106	381.5711555	431.5238594	567.5058177	427.3564357	405.9096043	407.073127	467.2932917	380.8303159	402.2980487	504.9494198	350.7477709
ENSMUSG00000034435		1281.591922	1767.502666	1531.567703	1234.405589	2648.891526	1906.504366	1258.948163	2395.141258	1869.813003	962.4830168	1905.129625	1983.410721	2414.115824	3832.424877	4404.737228	2011.083167
ENSMUSG00000034437		470.179911	397.7015033	607.0812492	400.5257158	574.6530661	548.0940938	403.0225539	496.4122336	462.7577597	410.2275263	310.6006572	477.1187891	432.6261286	474.1250456	351.9588741	509.7516925
ENSMUSG00000034442		119.7186403	105.3077087	105.4910998	74.21848984	132.1402286	131.3817921	131.2282577	107.9042526	124.0852139	109.2119974	117.5976004	97.03182493	94.66993063	125.3248973	98.66259713	95.90526553
ENSMUSG00000034445		132.9731606	90.85925914	120.3781451	131.5480035	47.70232449	93.18444409	88.67607199	58.79955584	139.6566581	120.8700148	88.16546905	78.98036756	79.87516772	70.32803464	51.63396455	83.23003691
ENSMUSG00000034449		133.1457366	130.8887951	97.21987783	150.6168333	74.12995417	97.56975838	97.45523364	140.2584573	203.8490935	125.454734	116.6418494	319.7066783	154.6938949	141.006758	138.1523938	98.62000398
ENSMUSG00000034453		392.5404088	398.0723426	348.4079498	385.1895199	294.8052673	367.1750222	375.1430241	288.66695	386.1388506	414.6979249	451.6421881	328.1250709	413.0297062	345.786822	357.7476174	434.6424653
ENSMUSG00000034457		18.95339869	53.25267578	30.95765108	25.99520762	48.89290096	77.37085812	114.0974946	30.76154614	36.17652446	274.6007442	88.38025852	20.5657512	29.64353401	84.12188477	8.050573317	9.853745771
ENSMUSG00000034459		763.9649496	2808.713515	447.9579386	667.638291	174.4202867	4009.016154	2276.10426	2083.330498	288.7154672	1570.482381	855.0749398	499.5651167	557.2792546	1901.55203	93.00709901	728.0113783
ENSMUSG00000034462		245.7232288	208.451742	203.2023231	268.0911799	164.4296676	161.0241983	226.7083406	170.8187439	193.6402116	349.6295265	297.0352884	270.5927526	236.2424831	187.7243552	186.1224326	241.2516112
ENSMUSG00000034463		25.8064007	25.10663308	19.66938617	103.4691998	66.92318911	10.64359163	83.22178661	42.51284557	24.05440993	131.4887012	86.99882219	76.95439005	90.24441563	24.69828545	44.15696146	48.54897236
ENSMUSG00000034471		425.5274298	337.8975732	334.4257851	285.5283196	315.549674	358.4125372	349.8549746	215.0198882	359.6258039	279.5900234	390.312258	332.9042202	258.4827923	228.6510897	302.2495326	210.7739312
ENSMUSG00000034473		167.7410338	280.5564513	373.6271015	247.286988	240.6549718	307.7953607	257.9979096	125.1931633	257.4479182	237.0466663	276.9131063	246.1464165	257.3835513	470.4107049	416.3372745	469.2282627
ENSMUSG00000034480		210.1065624	257.3598359	109.4643662	164.4367241	277.299358	223.2843699	202.8680395	231.6183685	161.5087354	203.6644838	289.4102318	187.7310287	173.9940769	284.6605755	296.5859095	176.2139636
ENSMUSG00000034484		966.4986816	1214.54359	1092.251707	849.7356612	1272.378325	1481.763158	1006.957231	1367.545301	1082.344952	929.549861	1133.471097	939.6897222	1194.188797	1636.177846	1340.791556	1465.304715
